DATE,PERIOD,VERSION,SUBSIDIARY,ACCOUNT_NUM,LOCATION,DEPARTMENT,COST_CENTER,AMOUNT,QUANTITY,MEMO,STATUS
,202409,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,108250,,,
,202409,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4932,,,
,202409,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,8293,,,
,202409,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202409,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,2000,,,
,202409,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202409,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202409,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202409,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,39000,,,
,202409,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202409,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,840,,,
,202410,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,108250,,,
,202410,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4932,,,
,202410,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,8293,,,
,202410,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202410,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,1500,,,
,202410,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202410,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202410,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202410,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,6100,,,
,202410,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202410,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,630,,,
,202411,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,108250,,,
,202411,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4932,,,
,202411,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,8293,,,
,202411,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202411,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,,,,
,202411,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202411,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202411,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202411,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,6100,,,
,202411,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202411,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,630,,,
,202412,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,108250,,,
,202412,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4932,,,
,202412,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,8293,,,
,202412,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202412,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,2000,,,
,202412,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202412,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202412,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202412,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,23100,,,
,202412,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202412,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,840,,,
,202401,Budget FY2024,PPACANADA,57000,,DC,DC,1000,,,
,202401,Budget FY2024,PPACANADA,60000,,DC,DC,5833,,,
,202401,Budget FY2024,PPACANADA,60100,,DC,DC,64621,,,
,202401,Budget FY2024,PPACANADA,60500,,DC,DC,408,,,
